Name,Sex,Equipment,Age,BodyweightKg,WeightClassKg,BestBenchKg,BestDeadliftKg,TotalKg,Wilks
Cliff Linne,M,Multi-ply,56,133.72,140,205,0,205,115.38
Jeff Guller,M,Wraps,75,87.91,90,70,70,292.5,189.03
Sean Parisi,M,Wraps,19,89.9,90,115,190,485,309.8
John Gagean,M,Wraps,42,113.94,125,155,230,612.5,356.79
Charles Dickens,M,Raw,62,97.98,100,82.5,155,375,230.14
Michael Fleeger,M,Single-ply,63,98.52,100,85,227.5,540,330.64
Derrick Hill,M,Wraps,47,134.54,140,50,255,540,303.63
Hanz Hoag,M,Raw,44,132.99,140,195,237.5,432.5,243.65
Amber Malchow,F,Raw,24,51.8,52,60,132.5,290,362.6
Leslie Kutner,F,Raw,27,58.51,60,75,147.5,342.5,389.39
Taylor Jackson,F,Wraps,26,59.78,60,65,145,347.5,388.53
Priscilla Pardue,F,Wraps,53,59.96,60,65,117.5,322.5,359.74
Tarra Farnham,F,Wraps,31,110.04,90,55,132.5,297.5,241.87
Christopher Macera,M,Raw,21,64.23,67.5,142.5,202.5,495,397.59
Tyler Goins,M,Wraps,25,74.3,75,165,245,695,498.49
Jeremy Grogan,M,Wraps,41,80.1,82.5,127.5,232.5,592.5,404.18
Kris Carriere,M,Raw,24,82.1,82.5,145,230,562.5,377.93
Matthew Guido,M,Raw,19,84.64,90,130,242.5,582.5,384.41
Andrew Bohn,M,Raw,28,87.36,90,125,235,575,372.85
Anthony Evans,M,Wraps,25,89.72,90,155,277.5,687.5,439.59
Sean Parisi,M,Wraps,19,97.89,100,122.5,200,522.5,320.78
Lynn Hodges,M,Raw,47,99.79,100,182.5,225,635,386.78
Adam Romero,M,Multi-ply,28,98.88,100,205,250,772.5,472.29
John Borek,M,Raw,51,107.95,110,172.5,205,582.5,344.84
Brian Cram,M,Raw,44,118.3,125,190,270,700,403.81
Thomas Young,M,Wraps,45,121.2,125,177.5,240,655,375.72
Karl Tillman,M,Multi-ply,54,122.92,125,257.5,322.5,997.5,570.41
Billy Warren,M,Multi-ply,55,115.39,125,272.5,262.5,922.5,535.54
Justin Ridenhour,M,Single-ply,33,129.91,140,297.5,250,845,477.99
Chuck Baumohi,M,Raw,76,82.92,90,137.5,0,137.5,91.83
Dave Pratt,M,Single-ply,55,93.71,100,0,0,0,0
Bob Gunn,M,Raw,54,107.95,110,165,0,165,97.68
Tom Garner,M,Raw,39,124.38,125,207.5,0,207.5,118.36
Barbara Haiden,F,Wraps,67,72.76,75,95,135,355,344.1
Tommy Pardue,M,Wraps,64,69.4,75,97.5,182.5,432.5,326.26
Dorsey Thomas,M,Wraps,58,71.85,75,105,120,330,242.5
Amit Bilgi,M,Raw,23,90,90,0,0,0,0
Maria Yin,F,Single-ply,52,47.26,48,37.5,85,190,254.51
Brooke Thayer,F,Raw,13,56,56,27.5,92.5,195,229.44
Huong Nguyen,F,Single-ply,35,53.89,56,35,87.5,197.5,239.47
Roderick Wada,M,Single-ply,65,66.68,67.5,50,97.5,235,182.98
Jennifer Thayer,F,Raw,42,63.96,67.5,37.5,120,237.5,252.18
Mary Vargas,F,Raw,35,73.94,75,45,125,275,263.79
David Markthayer,M,Raw,47,77.29,82.5,72.5,152.5,322.5,225.14
Theresa Lesui,F,Single-ply,41,87.32,90,32.5,75,147.5,129.13
Denny Fayler,M,Raw,76,123.47,125,120,0,120,68.56
Damiyah Smith,F,Raw,10,34.56,35,30,0,30,47.99
Karin Heindl,F,Raw,60,53.61,56,45,0,45,54.79
Monica Rosales,F,Raw,26,73.94,75,47.5,0,47.5,45.56
Lynthia Muller,F,Raw,56,61.87,67.5,0,92.5,92.5,100.72
Christina Ramirez,F,Raw,53,74.3,75,0,145,145,138.66
Celleste Lindsay,F,Raw,7,32.11,35,15.5,42.5,78,127.71
Carissa Lindsay,F,Raw,10,44,44,17.5,52.5,102.5,144.33
Bailey Kuhlmann,F,Raw,18,47.54,48,58.5,120,263.5,351.46
Robin Roth,F,Raw,46,45,48,30,82.5,145,201.08
Delores Sutcliffe,F,Raw,54,49.08,52,37.5,82.5,185,241.01
Elsie Magwire,F,Raw,16,57.52,60,66.5,157.5,359,413.63
Jesse Allen-Gribaldi,F,Raw,28,64.41,67.5,45,107.5,230,242.93
Sofia Arar,F,Raw,66,63.05,67.5,40,65,105,112.7
Karen Fultz,F,Raw,61,72.3,75,42.5,70,112.5,109.5
Winifred Pristell,F,Raw,78,83.1,90,65,125,190,170.36
Toni Hardy,F,Raw,56,95.35,100,52.5,120,172.5,145.82
Dalton Adkins,M,Raw,18,67.13,67.5,160,0,160,123.91
Martin Drake,M,Raw,18,74.93,75,130,0,130,92.69
Sean Kearney,M,Raw,51,75.02,75,0,0,0,0
John Lopez,M,Raw,80,74.3,75,90,0,90,64.55
Charlie Martin,M,Raw,61,88,90,0,0,0,0
Duane Burlingame,M,Raw,59,97.16,100,115,0,115,70.83
Harold Wooten,M,Raw,64,99.61,100,125,0,125,76.19
Joseph Parsons,M,Raw,67,104.69,110,145,0,145,86.74
Glenn Wilkerson,M,Raw,73,105.41,110,112.5,0,112.5,67.13
Robert Hartshorne,M,Raw,78,125,125,122.5,0,122.5,69.81
Art Lindsay,M,Raw,49,140.98,140,200,0,200,111.65
Robert Bienvienu,M,Single-ply,67,82.19,82.5,82.5,0,82.5,55.39
Biill Croft,M,Raw,53,78.83,82.5,0,285,285,196.41
David Fiori,M,Raw,41,94.8,100,0,255,255,158.77
Jason Dalen,M,Raw,50,179.99,140,0,255,255,137.24
Sammy Hancock,M,Raw,9,26.13,35,20,47.5,107.5,282.84
Lee Luedeker,M,Raw,65,66.68,67.5,97.5,177.5,385,299.78
Maxon Sheltar,M,Raw,14,81.28,82.5,82.5,160,380,256.88
James Stoval,M,Raw,73,75.39,82.5,77.5,170,375,266.25
Kelly Bailey,M,Raw,43,86.82,90,140,143,348,226.41
Ronald Hagen,M,Raw,43,106.68,110,185,235,670,398.19
Paul Wrenn,M,Raw,69,109.68,110,75,187.5,432.5,254.75
David Yancey,M,Raw,69,108.5,110,115,165,443.5,262.12
Ben Nemo,M,Raw,41,82.01,82.5,0,0,0,0
Kevin Shaw,M,Raw,49,90,90,157.5,255.5,413,263.66
Matthew Martinez,M,Raw,5,30,30,0,25,25,51.17
Eloy Martinez,M,Raw,34,110,110,165,257.5,646,380.17
Tina Rose,F,Raw,41,60,60,40,100,227.5,253.64
Christopher Salazar,M,Raw,28,100,100,155,232.5,567.5,345.37
John Gilmour,M,Raw,95,90,90,75,0,75,47.88
W. Jackson,M,Single-ply,18,52,52,80,195,417.5,409.68
Joe Cseko,M,Wraps,18,82.5,82.5,136.08,226.8,424.11,284.11
Ben Knowlton,M,Wraps,18,110,110,172.37,233.6,623.69,367.04
Paul Wallace,M,Multi-ply,45,100,100,181.44,265.35,771.11,469.29
Patrick Canal,M,Raw,61,82.5,82.5,136.08,0,136.08,91.16
Alfred Cutchin,M,Multi-ply,58,140,140,217.72,0,217.72,121.66
Sam Diogiovanni,M,Raw,15,67.5,67.5,102.06,0,102.06,78.69
Marsha Long,F,Wraps,18,60,60,80,125,322.5,359.55
Carol Ann Myers,F,Wraps,18,67.5,67.5,100,172.5,442.5,451.62
Christie Stricker,F,Wraps,18,48,48,42.5,77.5,190,251.64
Courtney Schroeder,F,Wraps,18,60,60,55,115,262.5,292.66
Natalie Kuchman,F,Wraps,18,82.5,82.5,47.5,120,260,233.99
Anthony Stricker,M,Wraps,18,67.5,67.5,80,137.5,320,246.73
Hunter Ladner,M,Wraps,18,67.5,67.5,115,220,522.5,402.86
Jeff Ray,M,Wraps,18,110,110,175,275,695,409
Malcolm Smith,M,Wraps,18,110,110,155,227.5,625,367.81
Rich Wharton,M,Wraps,18,125,125,122.5,237.5,610,347.61
JoJo Brasseaux,F,Raw,18,75,75,120,0,120,114.08
Trent Ford,M,Raw,18,67.5,67.5,107.5,0,107.5,82.88
Tom Deputy,M,Raw,18,100,100,140,0,140,85.2
Christina Hart,F,Raw,18,60,60,0,165,165,183.96
Jared Wilsey,M,Raw,18,90,90,0,295,295,188.33
Jessica Gale,F,Wraps,18,55.61,56,65,90,222.5,263.23
Ava Connolly,F,Wraps,18,56.52,60,45,95,222.5,259.9
Mary Askew,F,Wraps,18,66.32,67.5,50,120,252.5,261.01
Amy Dean,F,Wraps,18,66.32,67.5,72.5,115,280,289.44
Linda Graybeal,F,Wraps,18,63.96,67.5,30,65,135,143.34
Rebecca Roberts,F,Wraps,18,74.03,75,120,207.5,520,498.42
Cheryl Ritchie,F,Wraps,18,81.92,82.5,72.5,140,282.5,255.18
Elise Skora,F,Wraps,18,86.73,90,55,137.5,292.5,256.86
Ngai Li,M,Wraps,18,59.87,60,87.5,157.5,387.5,331.14
John Hare,M,Wraps,18,89.45,90,165,252.5,645,413.06
Kevin Curl,M,Wraps,18,95.53,100,142.5,267.5,640,397.1
Neil Bailey,M,Wraps,18,104.69,110,145,227.5,572.5,342.46
Travis Schafer,M,Multi-ply,18,89.36,90,192.5,275,762.5,488.56
Terrance Skidgel,M,Raw,18,73.66,75,82.5,167.5,250,180.42
Peyton Bell,M,Raw,18,54.88,56,97.5,0,97.5,90.55
Dustin Corwin,M,Raw,18,66.13,67.5,137.5,0,137.5,107.79
Eric Lumpkin,M,Raw,18,74.66,75,142.5,0,142.5,101.86
Christopher Casterline,M,Raw,18,87.36,90,170,0,170,110.23
Michael Thomas,M,Raw,18,89.81,90,145,0,145,92.67
Alex Boettcher,M,Raw,18,98.61,100,135,0,135,82.63
Rocky Moses,M,Raw,18,93.35,100,137.5,0,137.5,86.22
John Lloyd,M,Raw,18,187.42,140,227.5,0,227.5,121.69
Nick Hernandez,M,Multi-ply,18,95.53,100,0,277.5,277.5,172.18
Judith Willis,F,Wraps,18,48.17,52,42.5,115,237.5,313.73
Genyssa McCauley,F,Wraps,18,52.89,56,62.5,107.5,265,326.04
Persida Mayyer,F,Wraps,18,59.87,60,70,142.5,332.5,371.32
Amanda Lucier,F,Wraps,18,65.86,67.5,45,112.5,240,249.36
Cindy Shockman,F,Wraps,18,72.94,75,112.5,182.5,435,420.96
Elaine May,F,Wraps,18,97.34,90,57.5,125,265,222.47
Cheryl Shriver,F,Raw,18,81.1,82.5,30,77.5,107.5,97.63
Jordan Johnson,M,Wraps,18,63.87,67.5,80,150,347.5,280.46
Skyler Yoshino,M,Wraps,18,71.85,75,75,145,342.5,251.68
Andrew Snider,M,Wraps,18,122.47,125,155,242.5,625,357.69
Frank Winbigler,M,Multi-ply,18,86.82,90,165,0,165,107.35
Paul Hailey,M,Raw,18,81.65,82.5,0,127.5,127.5,85.95
Michele Sosnine,F,Wraps,18,47.54,48,57.5,87.5,245,326.78
Chelyncia Schoonmaker,F,Wraps,18,57.88,60,57.5,90,232.5,266.58
Nicole Hughson,F,Wraps,18,58.6,60,40,120,235,266.85
Tanya Neilsen,F,Wraps,18,64.86,67.5,42.5,122.5,250,262.7
Megan Keele,F,Wraps,18,67.31,67.5,52.5,82.5,210,214.76
Jennifer Rudakova,F,Wraps,18,63.32,67.5,62.5,115,280,299.56
Becky Hambright,F,Wraps,18,93.89,90,62.5,145,297.5,252.86
Joselyn Terry,F,Wraps,18,91.72,90,50,120,275,235.81
Derek Yatsu,M,Wraps,18,66.77,67.5,105,155,392.5,305.29
Frank Roa Jr,M,Wraps,18,79.38,82.5,130,195,485,332.75
Rob Schneider,M,Wraps,18,82.5,82.5,0,0,0,0
Colby Fasoli,M,Wraps,18,81.19,82.5,152.5,255,625,422.78
Roger Sargent,M,Wraps,18,89.45,90,92.5,205,447.5,286.58
Amit Sapir,M,Raw,18,87.91,90,167.5,280,812.5,525.08
Jacob Vickers,M,Wraps,18,92.08,100,67.5,185,375,236.7
Rick Evanoff,M,Wraps,18,107.5,110,120,152.5,437.5,259.35
Brian Rimmer,M,Wraps,18,105.6,110,110,192.5,427.5,254.95
Kevin Wells,M,Wraps,18,123.92,125,155,230,690,393.9
Larry Bush,M,Wraps,18,118.84,125,152.5,247.5,607.5,350.07
Kyle Young,M,Multi-ply,18,73.84,75,145,257.5,657.5,473.68
Dave Chun,M,Raw,18,65.77,67.5,82.5,0,82.5,64.97
Roger Walsh,M,Raw,18,88.9,90,147.5,0,147.5,94.76
Steven Hauger,M,Raw,18,96.98,100,0,0,0,0
Jared Gochenour,M,Raw,18,137.89,140,215,0,215,120.42
Ben Crutcher,M,Raw,18,178.26,140,200,0,200,107.8
Timothy Olsen,M,Raw,18,149.96,140,167.5,0,167.5,92.68
Charlie Martin,M,Raw,18,71.21,75,0,200,200,147.95
Shellie Corona,F,Raw,18,108.05,90,0,152.5,152.5,124.48
Reed Rickenbac,M,Wraps,19,89.81,90,131.54,260.82,596.47,381.19
Michael Cook,M,Wraps,36,95.25,100,113.4,206.38,458.13,284.63
Chad Tucker,M,Wraps,20,68.95,75,104.33,199.58,485.34,367.98
Wesley Smith,M,Wraps,46,121.56,125,158.76,258.55,648.64,371.82
Jerry Fortune,M,Wraps,36,58.97,60,108.86,190.51,435.45,377.35
Isaac Bolton,M,Raw,16,73.48,75,52.16,90.72,142.88,103.29
James Ludwig,M,Multi-ply,46,98.88,100,167.83,208.65,376.48,230.17
Roger Walters,M,Raw,55,106.14,110,181.44,272.16,453.59,270.03
Chris Hart,M,Raw,39,112.49,125,167.83,217.72,385.55,225.39
Kyle Williams,M,Raw,23,107.95,110,183.7,274.42,458.13,271.21
Connor Vanoven,M,Raw,16,96.16,100,108.86,197.31,306.17,189.42
Bradley Black,M,Raw,15,150.14,140,108.86,185.97,294.84,163.11
Raymond Mace,M,Raw,60,87.09,90,129.27,0,129.27,83.96
Dwayne Franks,M,Multi-ply,40,146.96,140,317.51,0,317.51,176.18
Angela di Fiore,F,Wraps,39,66.68,67.5,68.04,122.47,288.03,296.57
Chalyn Marshall,F,Wraps,20,61.78,67.5,43.09,79.38,206.38,224.97
Kaitie Naert,F,Wraps,15,113.4,90,54.43,147.42,308.44,249.24
Richard Greenman,M,Wraps,27,117.03,125,165.56,258.55,653.17,377.81
Kyle Dalgeish,M,Wraps,17,59.69,60,77.11,142.88,326.59,279.86
Everett Henes,M,Wraps,41,108.05,110,151.95,249.48,635.03,375.82
Cody Finney,M,Wraps,16,118.39,125,124.74,229.06,537.51,310.02
Karon Rizner,F,Raw,43,0,0,0,0,0,0
Chad Newbill,M,Raw,44,0,0,0,0,0,0
Landon Hoornstra,M,Wraps,12,52,52,25,67.5,147.5,144.74
Ciara Harmon,F,Wraps,18,56,56,70,137.5,345,405.93
Jeff Ray,M,Wraps,50,90,90,155,272.5,655,418.15
Cameron Moss,M,Wraps,18,125,125,210,340,845,481.52
Ken Morgan,M,Raw,42,125,125,215,287.5,502.5,286.35
Tony Nava,M,Wraps,45,104.33,110,137.5,182.5,462.5,277
Ed Regua,M,Wraps,65,82.33,82.5,127.5,172.5,445,298.48
Trey Williams,M,Wraps,24,101.6,110,170,272.5,682.5,412.79
Bryce Richards,M,Wraps,15,58.97,60,87.5,137.5,330,285.97
Agnet Lopez,M,Raw,29,110.68,125,122.5,0,122.5,71.96
Hunter Yazel,M,Wraps,21,74.05,75,102.06,185.97,464.93,334.27
Steven Jones,M,Wraps,45,133.58,140,138.35,251.74,655.44,368.98
Carol Moorhead,F,Wraps,55,71.55,75,45.36,104.33,242.67,237.85
Bobbi Sue Rauch,F,Wraps,48,56,56,54.43,104.33,251.74,296.2
Rob Marshall,M,Raw,47,149.91,140,240.4,0,240.4,133.02
Shawn Avery,M,Raw,38,98.88,100,0,219.99,219.99,134.5
Raiya Thomure,F,Wraps,17,70.49,75,45.36,102.06,233.6,231.29
Logan Varner,M,Wraps,22,0,0,0,0,0,0
Zack Farias,M,Wraps,29,64.41,67.5,83.91,147.42,356.07,285.33
Chase Mann,M,Wraps,20,88.9,90,179.17,260.82,696.26,447.31
Madison Reed,F,Raw,32,73.48,75,72.57,136.08,208.65,200.95
Jeffrey Tumey,M,Raw,25,127.46,140,142.88,206.38,349.27,198.27
Josh Gage,M,Raw,18,74.39,75,111.13,183.7,294.84,211.3
Harold Hager,M,Raw,84,72.57,75,86.18,0,86.18,62.87
Robert Feldman,M,Wraps,61,80.29,82.5,115.67,210.92,498.95,339.86
Steve Falchek,M,Wraps,44,129.36,140,106.59,192.78,455.86,258.06
Michael Berton,M,Wraps,14,74.84,75,61.23,124.74,299.37,213.64
Louie Toma,M,Raw,50,67.13,67.5,122.47,0,122.47,94.84
Pat Susco,M,Raw,64,108.05,110,0,258.55,258.55,153.01
Ivan Plunk,M,Wraps,12,41.73,44,40.82,74.84,167.83,212.25
Sam Voshell,M,Wraps,52,123.65,125,124.74,210.92,551.11,314.75
Kevin Chapman,M,Wraps,41,80.47,82.5,111.13,201.85,494.42,336.3
Robert Baker,M,Wraps,38,88.45,90,111.13,210.92,519.36,334.55
Alex White,M,Wraps,16,88,90,147.42,213.19,562.45,363.29
Kaylyn Crawford,F,Raw,14,121.2,90,58.97,0,58.97,47.07
Rodney Wood,M,Raw,49,103.42,110,181.44,0,181.44,109.01
Heath Bradley,M,Raw,37,112.04,125,161.03,0,161.03,94.25
Suzanne LaForge,F,Wraps,57,66.68,67.5,79.38,195.04,424.11,436.69
Jennifer Palacios,F,Wraps,38,73.94,75,77.11,163.29,358.34,343.74
Rick Magers,M,Wraps,70,74.84,75,68.04,183.7,394.63,281.62
Rusty North,M,Wraps,45,88.9,90,133.81,183.7,501.22,322.01
Don Daubert,M,Raw,46,117.48,125,215.46,0,215.46,124.51
Maria Rodriguez,F,Raw,66,58.06,60,24.95,74.84,99.79,114.14
Robert Bosclair,M,Raw,55,98.43,100,113.4,165.56,278.96,170.87
Charla Clarke,F,Wraps,48,93.08,100,83.91,113.4,333.39,284.27
Otis Johnson,M,Wraps,52,124.33,125,127.01,204.12,474,270.4
Jeff McGilbra,M,Wraps,45,95.44,100,117.93,215.46,508.02,315.35
Damien Seales,M,Wraps,20,65.14,67.5,113.4,247.21,569.26,451.86
Luke B Williams,M,Wraps,16,173.18,140,145.15,258.55,687.19,372.14
Mitch Williams,M,Raw,77,82.1,82.5,79.38,0,79.38,53.33
James Wren,M,Raw,44,139.89,140,226.8,0,226.8,126.75
Jennifer Jensen,F,Wraps,42,80.65,82.5,47.63,140.61,306.17,278.9
Laurie Descateaux,F,Wraps,19,62.87,67.5,54.43,108.86,256.28,275.66
John Walsh,M,Multi-ply,52,99.52,100,142.88,226.8,573.79,349.88
Adam Kent,M,Multi-ply,34,82.1,82.5,167.83,238.14,639.57,429.71
Tony Amodeo,M,Wraps,74,92.26,100,72.57,136.08,308.44,194.5
Martin Walsh,M,Raw,16,66.13,67.5,74.84,142.88,217.72,170.68
Colin Walsh,M,Raw,13,58.97,60,54.43,102.06,156.49,135.61
Jack Walsh,M,Raw,12,53.52,56,31.75,72.57,104.33,99.37
Barry Levers,M,Multi-ply,66,105.87,110,190.51,0,190.51,113.51
Jesse Ierardi,M,Raw,26,65.32,67.5,104.33,0,104.33,82.62
Sebastien Grenier,M,Raw,40,131.9,140,0,317.51,317.51,179.12
Samantha Wolter,F,Multi-ply,16,74.93,75,65.77,113.4,290.3,276.13
Austin Soto,M,Multi-ply,23,66.04,67.5,145.15,235.87,612.35,480.58
Randy Abendroth,M,Multi-ply,61,124.47,125,183.7,254.01,671.32,382.88
Scott Kingsley,M,Multi-ply,59,86.82,90,174.63,0,174.63,113.62
Illyana Lee,F,Wraps,25,65.32,67.5,54.43,122.47,272.16,284.49
Xochitl Valdez,F,Wraps,41,66.22,67.5,43.09,113.4,258.55,267.56
Daniel Maese,M,Wraps,28,84.82,90,131.54,222.26,548.85,361.77
