Artist Name,Song Name,Days,Top 10,Peak Position,Peak Position2,Peak Streams,Total Streams
Jorja Smith ,I Am,25,0,28,0,639179,8467665
Jessie J ,Flashlight,82,0,54,0,178789,8465043
J. Cole ,c l o s e,14,0,12,0,2208405,8464233
Eminem ,Darkness,15,1,10,0,1365796,8453459
Drake ,A Keeper,13,2,7,0,2421095,8452277
Morgan Wallen ,More Surprised Than Me,26,1,10,0,807345,8444957
Eminem ,Unaccommodating,15,1,9,0,1632419,8441936
Trippie Redd ,Under Enemy Arms,27,0,19,0,765162,8425010
Lil Wayne ,Open Letter,14,1,10,0,2023336,8424701
Juice WRLD ,Flaws And Sins,24,0,28,0,762725,8422210
Old Dominion ,Break Up with Him,91,0,123,0,116984,8421060
5 Seconds of Summer ,Want You Back,29,0,16,0,786111,8413550
Blueface ,Thotiana,27,0,57,0,401335,8411540
Ty Dolla $ign ,Clout,33,0,77,0,350495,8401695
Justin Bieber ,We Are,47,0,35,0,404865,8398536
Kelsea Ballerini ,Peter Pan,65,0,130,0,151558,8392710
Liam Payne ,Bedroom Floor,32,0,46,0,516578,8363705
The Pogues ,Fairytale of New York,22,0,54,0,918124,8351569
Drake ,F*****g Fans,14,0,20,0,2228000,8337639
City Girls ,Twerkulator,32,0,51,0,511096,8331766
Moneybagg Yo ,Said Sum,35,0,78,0,356474,8330978
Big Sean ,Bezerk,26,0,31,0,683042,8319594
Lil Yachty ,One Night (Extended),61,0,114,0,175741,8319106
Meek Mill ,On Me,19,0,15,0,861249,8314866
Disclosure ,Magnets,66,0,44,0,262075,8313605
Noah Cyrus ,Again,39,0,89,0,341038,8305307
Taylor Swift ,Better Man (Taylor's Version) (From The Vault),14,0,12,0,1620693,8299968
Ed Sheeran ,Eraser,23,0,19,0,819916,8292015
Tee Grizzley ,2 Vaults,31,0,89,0,381156,8290622
Ariana Grande ,obvious,21,0,14,0,1288523,8282802
Ella Fitzgerald ,Frosty The Snowman,21,0,40,0,744545,8280471
Adele ,Strangers By Nature,13,2,3,(x1),2101828,8270314
The Weeknd ,Losers,50,0,21,0,378628,8268289
Tori Kelly ,Should’ve Been Us,73,0,64,0,155938,8266712
Panic! At The Disco ,Emperor's New Clothes,57,0,50,0,248067,8261368
Juice WRLD ,Sometimes,22,4,2,(x1),762342,8259204
Linkin Park ,Heavy,35,0,18,0,719629,8248011
Machine Gun Kelly ,emo girl,24,0,16,0,623768,8241881
XXXTENTACION ,I don’t let go,15,1,7,0,1499350,8241320
J Balvin ,In Da Getto,31,0,69,0,364053,8232659
Kevin Gates ,I Don't Get Tired,81,0,69,0,128622,8229119
Taylor Swift ,Treacherous (Taylor's Version),13,1,8,0,1823820,8228272
Rita Ora ,Anywhere,40,0,119,0,267127,8209245
Zara Larsson ,TG4M,43,0,139,0,217198,8205931
Pop Smoke ,AP  Music from the film Boogie,28,0,20,0,572340,8190773
Travis Scott ,MAFIA,16,3,3,(x1),1559622,8175614
Eminem ,The Monster,120,0,95,0,221482,8165851
21 Savage ,1.5,25,0,17,0,948318,8142890
Drake ,Star67,47,0,14,0,385834,8138757
Joji ,Your Man,28,0,22,0,676185,8137496
Cardi B ,She Bad,23,0,36,0,617114,8121935
Matoma ,Old Thing Back,73,0,51,0,175389,8115242
Mac Miller ,Hand Me Downs,14,1,10,0,1549224,8113888
Florida Georgia Line ,Anything Goes,91,0,133,0,104161,8112692
Big Sean ,Pull Up N Wreck (With Metro Boomin),31,0,59,0,421665,8109843
Playboi Carti ,Fell In Luv,35,0,57,0,485934,8108259
Lil Uzi Vert ,Chrome Heart Tags,14,0,13,0,1556004,8104014
Mac Miller ,I Can See,13,2,8,0,1634726,8095550
Drake ,Demons,15,0,12,0,1512380,8094831
Maluma ,Corazón,38,0,105,0,270078,8093826
Ariana Grande ,Let Me Love You,49,0,60,0,285453,8088942
Marshmello ,Spotlight,29,0,55,0,462422,8087582
Kanye West ,Only One,71,0,34,0,197938,8082074
Bebe Rexha ,The Way I Are (Dance with Somebody),42,0,98,0,273048,8078299
Clinton Kane ,CHICKEN TENDIES,30,0,27,0,466741,8066568
Logic ,Yuck,19,0,13,0,1134883,8053931
Beyoncé ,ENERGY,22,0,12,0,628983,8045563
Mora ,Volando  Remix,31,0,40,0,489529,8043621
Adele ,Cry Your Heart Out,13,2,8,0,1774175,8043195
Trey Songz ,Nobody Else But You,49,0,168,0,187977,8038909
Trippie Redd ,Rich MF,18,1,8,0,883514,8035604
Madison Beer ,Hurts Like Hell,34,0,105,0,302216,8031805
Tory Lanez ,Jerry Sprunger,23,0,21,0,639726,8018263
Adele ,Set Fire to the Rain,52,0,61,0,395768,8012344
Eminem ,Nice Guy,17,0,19,0,1059393,8012032
Vance Joy ,Mess Is Mine,95,0,57,0,200832,7999465
Desiigner ,Outlet,37,0,72,0,294739,7995082
Joyner Lucas ,I Love,33,0,111,0,309704,7988988
Blake Shelton ,Came Here to Forget,63,0,132,0,159595,7978647
Michael Bublé ,Jingle Bells,48,0,37,0,394334,7967725
KAROL G ,"Ay, DiOs Mío!",33,0,110,0,285589,7961628
Lil Nas X ,Old Town Road  Remix,16,0,18,0,860997,7955045
Selena Gomez ,Boyfriend,25,0,27,0,573126,7953511
Taylor Swift ,closure,13,0,18,0,1791886,7946488
James Newton Howard ,The Hanging Tree,68,0,29,0,204016,7942682
Metro Boomin ,Overdue,20,0,12,0,998232,7932701
ScHoolboy Q ,Studio,105,0,72,0,95927,7930738
benny blanco ,I Found You,27,0,56,0,502361,7928970
KYLE ,Hey Julie!,28,0,88,0,324190,7922944
Lauv ,Chasing Fire,32,0,103,0,318745,7917360
Selena Gomez ,Me & The Rhythm,67,0,50,0,242107,7915349
Nipsey Hussle ,Grinding All My Life,30,0,38,0,576237,7911382
Drake ,I Guess It’s Fuck Me,12,0,16,0,1829120,7902833
Nico & Vinz ,In Your Arms,90,0,55,0,118973,7901982
Drake ,Now & Forever,46,0,13,0,365928,7898664
Kanye West ,Wash Us In The Blood,17,2,5,0,924697,7892729
Kelly Clarkson ,"Santa, Can’t You Hear Me",18,0,68,0,818729,7884423
Jhené Aiko ,P*$$Y Fairy (OTW),28,0,80,0,433659,7883160
Kenshi Yonezu ,KICK BACK,29,0,59,0,360201,7883030
Yeat ,Flawlëss,26,0,12,0,718548,7883008
Machine Gun Kelly ,Bad Things,41,0,129,0,233947,7881618
Elle King ,Drunk (And I Don't Wanna Go Home),36,0,125,0,247998,7880601
"Tyler, The Creator ",CORSO,16,1,7,0,1813583,7880542
Future ,Jumpin on a Jet,24,0,25,0,749455,7875619
Metro Boomin ,I Can't Save You (Interlude) [with Future & feat. Don Toliver],14,0,23,0,944619,7874300
Taylor Swift ,Run,13,0,13,0,1445568,7869420
21 Savage ,Many Men,18,2,8,0,1347881,7868475
Huncho Jack ,Black & Chinese,25,1,5,0,1123684,7855035
Taylor Swift ,False God,16,0,15,0,1261363,7850096
Lil Tjay ,Brothers,31,0,62,0,404245,7843214
Don Toliver ,Flocky Flocky,23,1,7,0,861322,7797301
Lil Nas X ,DOLLA SIGN SLIME,16,1,9,0,1242089,7797163
The Weeknd ,Best Friends,16,2,9,0,1336838,7796076
Kanye West ,Hands On,13,0,12,0,1538743,7781634
Bing Crosby ,It's Beginning To Look A Lot Like Christmas,18,0,67,0,886609,7778775
Logic ,Wizard Of Oz,19,0,20,0,1013153,7775504
Bad Bunny ,Bichiyal,18,0,22,0,878035,7767086
Lil Uzi Vert ,Bust Me,14,0,16,0,1431826,7766574
Selena Gomez ,Feel Me,21,0,26,0,709616,7761840
Hugh Jackman ,Come Alive,35,0,105,0,260828,7761640
Ellie Goulding ,Burn,124,0,113,0,77462,7759742
Shawn Mendes ,Like To Be You feat. Julia Michaels,32,0,78,0,463987,7758886
Luke Combs ,Without You,26,0,12,0,696113,7746072
Adele ,Love In The Dark,28,0,57,0,402375,7745617
Eli Young Band ,Love Ain't,35,0,138,0,261404,7742301
Adele ,To Be Loved,13,2,9,0,1523358,7739743
Bo Burnham ,Shit,32,0,95,0,354979,7737367
JACKBOYS ,GATTI,23,1,10,0,1066057,7732711
Beyoncé ,COZY,17,1,5,0,1400754,7725012
Lauv ,Getting Over You,32,0,79,0,365391,7714447
Kendrick Lamar ,Rich  Interlude,9,0,11,0,2747667,7706704
Bing Crosby ,Mele Kalikimaka (Merry Christmas),22,0,44,0,836596,7700717
XXXTENTACION ,"ALONE, PART 3",21,0,25,0,788021,7697606
Mac Miller ,Complicated,13,1,7,0,1774316,7687137
Ed Sheeran ,Bibia Be Ye Ye,24,0,37,0,577606,7676756
NF ,When I Grow Up,27,0,48,0,481684,7662943
Future ,D4L,16,1,5,0,1792991,7660258
Lorde ,Team,115,0,90,0,85865,7647321
Machine Gun Kelly ,ay!,23,1,7,0,721344,7646419
Lizzo ,Tempo,33,0,133,0,279399,7616482
Drake ,Calling My Name,12,1,9,0,2251224,7595404
Taylor Swift ,We Are Never Ever Getting Back Together (Taylor's Version),13,1,10,0,1725197,7589170
Mac Miller ,Hurt Feelings,21,0,14,0,866537,7577414
Shakira ,Monotonía,24,0,56,0,480852,7571267
Lil Uzi Vert ,UnFazed,27,0,27,0,749551,7571186
Shakira ,Te Felicito,30,0,124,0,298377,7558521
Bing Crosby ,The Little Drummer Boy,19,0,42,0,890391,7539973
Lil Baby ,Not Finished,19,0,18,0,777431,7537591
Jeremy Zucker ,you were good to me,35,0,166,0,239256,7532907
Billie Eilish ,bitches broken hearts,32,0,136,0,269245,7526772
DJ Khaled ,I DID IT,21,0,15,0,771432,7524625
Kanye West ,Feedback,35,0,36,0,402149,7492573
The Chainsmokers ,Do You Mean,27,0,83,0,374747,7490687
Kanye West ,Keep My Spirit Alive,13,0,18,0,1423151,7488984
Joji ,Daylight,22,0,25,0,650439,7484957
Luke Combs ,Six Feet Apart,27,0,48,0,519272,7483977
Machine Gun Kelly ,DAYWALKER!,25,0,15,0,690783,7483506
Jason Derulo ,Cheyenne,57,0,59,0,165301,7476779
Drake ,Madonna,42,0,15,0,380798,7476593
Nat King Cole Trio ,All I Want For Christmas (Is My Two Front Teeth)  Remastered,19,0,28,0,756293,7473568
Cash Cash ,All My Love,37,0,94,0,247097,7466960
BTS ,Yet To Come,17,1,10,0,1015568,7462911
Hozier ,Work Song,103,0,78,0,127280,7461133
Tory Lanez ,The Take,33,0,67,0,380738,7453591
Metro Boomin ,Feel The Fiyaaaah,14,0,28,0,869619,7451371
Ariana Grande ,pete davidson,20,0,18,0,980109,7449868
Trippie Redd ,Love Scars 3,21,0,26,0,784171,7438635
Wiz Khalifa ,King of Everything,71,0,111,0,134382,7434968
Quality Control ,Big Rocks (Offset feat. Young Thug),28,0,84,0,334951,7424965
Niall Horan ,No Judgement,28,0,59,0,454199,7424051
Carly Rae Jepsen ,Run Away With Me,65,0,82,0,154967,7410209
Don Toliver ,Cardigan,22,0,37,0,751054,7409165
Dr. Dre ,The Next Episode,25,2,5,0,783963,7408055
6ix9ine ,RONDO,21,0,23,0,699825,7392608
Pharrell Williams ,Happy,91,0,77,0,233210,7391023
Ariana Grande ,goodnight n go,20,0,24,0,862865,7390930
Future ,WIFI LIT,21,0,23,0,786992,7377656
A$AP Rocky ,Electric Body,48,0,15,0,358130,7377273
T.I. ,No Mediocre,98,0,52,0,116174,7375764
PnB Rock ,I Like Girls,29,0,71,0,383121,7374548
Chris Brown ,Loyal,113,0,134,0,97233,7361146
Sigala ,Easy Love,61,0,64,0,176085,7355933
Lauv ,Easy Love,34,0,94,0,323697,7351713
Kid Ink ,Body Language,118,0,116,0,85314,7340156
Tech N9ne ,Hood Go Crazy,83,0,86,0,116009,7337879
Tiësto ,Don't Be Shy,33,0,70,0,352147,7331300
Young Stoner Life ,Diamonds Dancing,20,1,8,0,1081458,7330415
Kacey Musgraves ,justified,21,0,23,0,605215,7326605
Lana Del Rey ,Love,27,0,33,0,507275,7315854
James Arthur ,Can I Be Him,37,0,114,0,219264,7314871
Ariana Grande ,the light is coming,22,0,28,0,775461,7312229
Lana Del Rey ,Lust for Life,26,0,31,0,685354,7311437
Kygo ,Here for You,66,0,62,0,199942,7302884
Carpenters ,Silent Night,19,0,43,0,771816,7302712
Drake ,Currents,11,1,8,0,2394029,7299627
Katy Perry ,Small Talk,21,0,19,0,702566,7297956
Ed Sheeran ,Save Myself,23,0,42,0,560607,7291701
Pop Smoke ,Gangstas,21,0,12,0,948553,7281938
Lil Yachty ,Get Dripped,21,0,41,0,668410,7278487
Ariana Grande ,Last Christmas,25,0,101,0,527888,7276708
Conan Gray ,People Watching,30,0,79,0,392266,7269352
J. Cole ,Fire Squad,70,0,16,0,252452,7262802
Logic ,The Return,22,0,37,0,677750,7262410
Lana Del Rey ,Doin' Time,24,0,54,0,509373,7261617
Logic ,BoomTrap Protocol,17,0,14,0,1134077,7258064
Camila Cabello ,Consequences  orchestra,26,0,84,0,355832,7254768
NLE Choppa ,Final Warning,31,0,85,0,293505,7252444
"Tyler, The Creator ",WHAT'S GOOD,14,1,8,0,1473630,7246602
Post Malone ,Wasting Angels,15,1,9,0,1199041,7246367
Michael Bublé ,All I Want for Christmas Is You,62,0,21,0,342814,7242714
Zedd ,Beautiful Now,59,0,58,0,163096,7233468
Drake ,The Remorse,12,0,21,0,2094298,7228769
Lil Wayne ,Problems,13,0,13,0,1797773,7227361
Post Malone ,Lemon Tree,15,1,8,0,1212399,7226217
50 Cent ,In Da Club,30,0,29,0,486868,7212722
Perry Como ,Here We Come aCaroling / We Wish You a Merry Christmas,19,0,49,0,715334,7211100
Conrad Sewell ,Hold Me Up,61,0,71,0,167636,7207050
Daya ,Words,42,0,80,0,225981,7193653
BLACKPINK ,Bet You Wanna,19,0,18,0,977449,7186746
Taylor Swift ,I Almost Do (Taylor's Version),13,0,13,0,1592708,7186116
Gunna ,RELENTLESS,24,0,51,0,617782,7184801
Carlos Vives ,"Colombia, Mi Encanto",30,0,106,0,268396,7180475
Mother Mother ,Burning Pile,33,0,136,0,236669,7179564
21 Savage ,Slidin,16,1,7,0,1377037,7176318
Ty Dolla $ign ,Wavy,60,0,150,0,141737,7152792
Joji ,YEAH RIGHT,28,0,74,0,419377,7135300
Hugh Jackman ,From Now On,33,0,114,0,250995,7129500
Gayla Peevey ,I Want a Hippopotamus for Christmas (Hippo the Hero),15,0,53,0,1182242,7089645
Kanye West ,Jesus Lord,12,0,20,0,1414230,7082130
Mac DeMarco ,My Kind Of Woman,31,0,143,0,247067,7079848
Rockwell ,Somebody's Watching Me,14,0,12,0,1181045,7075416
Desiigner ,Tiimmy Turner  Remix,45,0,115,0,184918,7070798
Kendrick Lamar ,Crown,9,0,13,0,2288034,7068255
Lil Baby ,Live Off My Closet,14,1,9,0,1141329,7067209
21 Savage ,asmr,22,0,28,0,827834,7066428
Mac Miller ,Come Back to Earth,20,0,15,0,864462,7064707
Marshmello ,OK Not To Be OK,24,0,17,0,649004,7061813
Tayler Buono ,Technically Single,36,0,87,0,229170,7058610
Ozuna ,La Modelo,33,0,113,0,267248,7057200
Kid Cudi ,Another Day,11,0,17,0,1867656,7043521
Fetty Wap ,Jugg,63,0,71,0,179871,7039432
Benson Boone ,In The Stars,23,0,31,0,524916,7036482
Megan Thee Stallion ,Plan B,21,1,5,0,722250,7032482
Skrillex ,Don’t Go,21,0,15,0,768038,7031200
Suki Waterhouse ,Good Looking,22,0,56,0,417080,7030386
M City JR ,Addicted to My Ex,49,0,106,0,174081,7028634
Martin Garrix ,Don't Look Down,56,0,45,0,200461,7026837
"Tyler, The Creator ",PUPPET,14,0,11,0,1381337,7024881
blink,182  Bored To Death,40,0,36,0,431709,7018071
Lil Pump ,Drug Addicts,23,0,66,0,427240,7017731
Nessa Barrett ,i hope ur miserable until ur dead,26,0,52,0,385926,7012779
Logic ,Warm It Up,16,0,18,0,1058260,6999699
Metro Boomin ,Dreamcatcher,19,0,20,0,823387,6993448
XXXTENTACION ,Orlando,24,0,54,0,538995,6991353
Justin Bieber ,Honest,17,0,13,0,837170,6991266
21 Savage ,3AM on Glenwood,11,0,17,0,1794802,6986835
Adele ,All Night Parking,13,1,10,0,1432666,6985895
Mabel ,Mad Love,28,0,92,0,348127,6984545
Polo G ,GNF (OKOKOK),24,0,16,0,607909,6974871
"Tyler, The Creator ","GONE, GONE / THANK YOU",15,0,12,0,1213023,6969054
Yeat ,Rich Minion,20,0,22,0,592989,6965369
2 Chainz ,Whip,19,0,18,0,860566,6962085
Harry Styles ,"Sunflower, Vol. 6",16,0,15,0,1079377,6948043
NF ,CLOUDS,23,0,13,0,588698,6947881
Loote ,High Without Your Love,39,0,112,0,216702,6947609
J. Cole ,Snow On Tha Bluff,16,3,1,(x1),1469240,6947322
Chance the Rapper ,Smoke Break,44,0,120,0,217952,6945155
Bad Bunny ,Soliá,16,0,23,0,852194,6944359
Monsieur Periné ,Nuestra Canción,24,0,42,0,404745,6938660
BTS ,ON,17,0,25,0,654623,6932738
Mac Miller ,Woods,13,0,16,0,1383227,6930615
Megan Thee Stallion ,Don’t Stop,25,0,43,0,563393,6906809
Lil Yachty ,Yacht Club,23,0,58,0,507159,6905802
Eminem ,Em Calls Paul  Skit,13,0,14,0,1267119,6903697
BlocBoy JB ,Rover 2.0,28,0,76,0,365939,6898786
Morgan Wallen ,Tennessee Fan,13,0,11,0,1304477,6897594
Drake ,Jungle,49,0,23,0,293985,6895499
Kanye West ,New Again,12,0,21,0,1322284,6891489
Lynyrd Skynyrd ,Sweet Home Alabama,27,0,32,0,442939,6886801
Pusha T ,If You Know You Know,20,0,17,0,840937,6884959
Post Malone ,Insane,15,0,13,0,1059392,6883955
Khalid ,Self,19,0,40,0,715230,6877607
Carrie Underwood ,Something in the Water,106,0,90,0,108504,6872633
YNW Melly ,Mind of Melvin,23,0,48,0,409577,6857077
Migos ,Supastars,18,1,6,0,1278764,6849599
Billie Eilish ,Lo Vas A Olvidar,17,1,3,(x1),913584,6841727
Rihanna ,Consideration,50,0,60,0,219970,6839671
Drake ,Time Flies,14,0,11,0,1519691,6838861
Taylor Swift ,Soon You’ll Get Better,14,0,14,0,1323914,6833678
Lil Skies ,Bad Girls,20,0,35,0,678175,6832950
BLACKPINK ,Lovesick Girls,18,0,24,0,789737,6821378
Ab,Soul  Bloody Waters,21,0,37,0,586151,6818033
Kodak Black ,Take One,17,0,32,0,587513,6813799
R3HAB ,All Around The World (La La La),29,0,132,0,283461,6813283
Taylor Swift ,The Last Time,13,0,16,0,1454087,6806875
Ed Sheeran ,Best Part of Me,18,0,25,0,680848,6791414
Lil Uzi Vert ,Secure The Bag,13,0,19,0,1235135,6788157
Pharrell Williams ,Sangria Wine,22,0,49,0,510266,6787476
Thomas Rhett ,Beer Can’t Fix,29,0,102,0,289629,6783357
Harry Styles ,She,14,0,11,0,1149268,6777158
Taylor Swift ,Blank Space,28,0,82,0,357339,6772902
Taylor Swift ,Stay Stay Stay (Taylor's Version),13,0,14,0,1525721,6771360
Shawn Mendes ,Summer of Love (Shawn Mendes & Tainy),21,0,31,0,629930,6769563
Madison Beer ,Reckless,28,0,106,0,272408,6766983
Calvin Harris ,Stay With Me,22,0,24,0,541262,6764121
Disney Characters ,This Is Halloween,13,1,7,0,1421036,6761861
Maroon 5 ,Help Me Out,27,0,69,0,389509,6755839
Quavo ,LOSE IT,21,0,36,0,692141,6753152
Twenty One Pilots ,Chlorine,22,0,45,0,642510,6745948
CORPSE ,HOT DEMON B!TCHES NEAR U ! ! !,21,0,54,0,535262,6743949
A Boogie Wit da Hoodie ,Beast Mode,32,0,97,0,288526,6725402
SALES ,Pope Is a Rockstar,26,0,96,0,351475,6723372
Kendrick Lamar ,Auntie Diaries,9,0,14,0,2118488,6720794
Megan Thee Stallion ,B.I.T.C.H.,19,0,24,0,718139,6719384
Jack Harlow ,Face Of My City,22,0,58,0,668052,6716321
Lil Baby ,Heyy,19,0,15,0,804305,6707783
Ariana Grande ,west side,16,0,12,0,1350259,6706312
Chris Janson ,Buy Me a Boat,76,0,124,0,102683,6704670
Big Sean ,Living Single,35,0,82,0,262295,6704636
Taylor Swift ,Babe (Taylor's Version) (From The Vault),13,0,21,0,1354874,6695608
Bebe Rexha ,I'm Gonna Show You Crazy,71,0,46,0,155657,6695475
Justin Bieber ,Trust,37,0,40,0,373744,6695411
Lil Wayne ,Hittas,12,0,14,0,1715308,6691409
Tyga ,Girls Have Fun,24,0,42,0,562355,6690813
Fat Joe ,All The Way Up (Remix),48,0,122,0,169469,6683834
Nicki Minaj ,Yikes,19,0,34,0,584109,6680369
Lil Baby ,Detox,20,0,21,0,658631,6667618
Drake ,Desires,14,1,10,0,1623719,6659201
Travis Scott ,COFFEE BEAN,14,0,20,0,1393730,6657753
J Balvin ,No Es Justo,31,0,150,0,248954,6657065
Miley Cyrus ,Angels Like You,21,0,48,0,489423,6655190
Kendrick Lamar ,Mirror,11,0,18,0,1764818,6650338
Russ ,HANDSOMER,27,0,119,0,274173,6650180
KIDS SEE GHOSTS ,Freeee (Ghost Town Pt. 2),11,1,9,0,1117323,6647333
Dreamville ,Sunset,20,0,28,0,589376,6638688
Lil Wayne ,Believe Me,94,0,43,0,125989,6626497
XXXTENTACION ,before I close my eyes,21,0,39,0,659654,6624039
Twenty One Pilots ,Cancer,38,0,62,0,313968,6618097
Ed Sheeran ,Overpass Graffiti,15,1,9,0,860507,6613651
Kanye West ,Donda,11,0,16,0,1505125,6612289
Lil Nas X ,C7osure (You Like),18,0,42,0,476010,6611965
Brett Eldredge ,Lose My Mind,74,0,123,0,107946,6599148
Lil Tjay ,Hold On,28,0,61,0,405265,6594692
Taylor Swift ,Everything Has Changed,14,0,15,0,1481683,6588759
American Authors ,Best Day Of My Life,88,0,31,0,146197,6587611
Khalid ,Bad Luck,17,0,21,0,986069,6587095
Thomas Gold ,Magic,37,0,152,0,207569,6585848
Katy Perry ,Rise,42,0,97,0,222092,6577410
Mike WiLL Made,It  Nothing Is Promised,53,0,127,0,161585,6576150
Dillon Francis ,Coming Over,53,0,52,0,181256,6566791
Beyoncé ,SUMMER RENAISSANCE,14,0,14,0,999922,6565029
Bailey Zimmerman ,Where It Ends,20,0,24,0,579579,6558534
ScHoolboy Q ,THat Part  Black Hippy Remix,51,0,145,0,146128,6556937
Miley Cyrus ,Plastic Hearts,24,0,92,0,349811,6555700
Rosa Walton ,I Really Want to Stay at Your House,23,0,71,0,330238,6538766
Billie Eilish ,Billie Bossa Nova,16,1,9,0,948543,6534233
Waka Flocka Flame ,No Hands,32,0,146,0,262627,6533539
Why Don't We ,Big Plans,29,0,168,0,247481,6531972
Adele ,Woman Like Me,12,0,11,0,1422662,6525979
Meek Mill ,Blue Notes 2,22,0,50,0,591415,6522477
Baby Keem ,durag activity,19,0,12,0,803534,6520639
Machine Gun Kelly ,make up sex,19,1,2,(x1),768387,6517102
Troye Sivan ,WILD,58,0,56,0,178460,6516852
Russell Dickerson ,She Likes It,27,0,120,0,279707,6510051
Frank Ocean ,In My Room,20,0,34,0,531222,6501289
Lil Wayne ,Let It All Work Out,14,0,27,0,1145876,6492662
Stan Kenton ,Lonesome Train,18,0,61,0,456779,6491218
PARTYNEXTDOOR ,Break from Toronto,25,0,160,0,275277,6488141
KIDS SEE GHOSTS ,Cudi Montage,13,0,21,0,873982,6483502
Trippie Redd ,The Grinch,25,0,65,0,447861,6473354
Julia Michaels ,Uh Huh,34,0,93,0,291256,6458831
Sech ,Relación  Remix,30,0,124,0,252745,6457181
Money Man ,24,26,0,103,0,305320,6454983
Rita Ora ,Girls,24,0,54,0,552382,6451140
J. Cole ,everybody dies,31,0,36,0,448420,6442993
Billie Eilish ,Oxytocin,15,1,8,0,965078,6433796
Ariana Grande ,love language,15,0,13,0,1336669,6426584
Khalid ,Right Back,17,0,32,0,847871,6425188
Trippie Redd ,Sleepy Hollow,22,0,28,0,525865,6423238
lovelytheband ,broken,29,0,144,0,247894,6421237
KIDS SEE GHOSTS ,Fire,12,0,14,0,981233,6417561
Mac Miller ,Dang!,38,0,57,0,332519,6414655
Khalid ,Vertigo,14,1,10,0,1184701,6407208
Taylor Swift ,Forever Winter (Taylor's Version) (From The Vault),13,0,26,0,1177011,6405264
Lil Wayne ,Open Safe,12,0,15,0,1537167,6404831
Bazzi ,No Way!,23,0,35,0,518502,6396962
DJ Drama ,Wishing,49,0,137,0,150385,6391988
Demi Lovato ,Sober,23,0,38,0,538769,6388740
Saweetie ,Tap In,22,0,25,0,627270,6386527
Huncho Jack ,Eye 2 Eye,20,1,4,0,1151239,6386506
The Lumineers ,Ho Hey,102,0,118,0,229975,6386180
Kendrick Lamar ,Savior  Interlude,9,0,16,0,2018189,6380466
The Weeknd ,I Heard You’re Married,12,0,11,0,1248711,6362525
Adele ,Hold On,12,0,12,0,1368804,6361232
Harry Styles ,To Be So Lonely,13,0,12,0,1141216,6355344
Mac Miller ,Everybody,12,0,14,0,1413408,6352584
Future ,Thought It Was a Drought,66,0,62,0,141850,6341927
Juice WRLD ,Anxiety  Intro,11,0,11,0,2265094,6337434
Billie Eilish ,Getting Older,15,1,6,0,1047925,6337096
Chance the Rapper ,Mixtape,36,0,77,0,256868,6327740
Mac Miller ,Cinderella,41,0,91,0,296266,6322566
Missy Elliott ,WTF (Where They From),53,0,58,0,317253,6320355
Yeat ,Out thë way,20,0,59,0,414374,6317439
Lil Nas X ,DEAD RIGHT NOW,14,0,11,0,1183514,6307634
Kanye West ,Come to Life,12,0,23,0,1156493,6304916
Drake ,30 for 30 Freestyle,44,0,46,0,245066,6299342
Justin Bieber ,2 Much,15,1,5,0,1232023,6293187
Bad Bunny ,25-ago,16,0,40,0,673546,6285234
HARDY ,"One Beer (HARDY feat. Lauren Alaina, Devin Dawson)",29,0,143,0,263965,6283970
Post Malone ,Congratulations  Remix,30,0,90,0,267572,6281504
Fetty Wap ,679,56,0,65,0,203291,6267447
Grey ,I Miss You,32,0,131,0,232188,6264590
Fleetwood Mac ,The Chain  2004 Remaster,27,0,82,0,311232,6263753
XXXTENTACION ,what are you so afraid of,13,0,13,0,1325891,6260266
Post Malone ,I Cannot Be (A Sadder Song),13,1,10,0,1196999,6254244
Beyoncé ,VIRGO'S GROOVE,15,0,13,0,1045597,6252395
Taylor Swift ,Holy Ground (Taylor's Version),12,0,19,0,1382906,6249994
Alessia Cara ,Out Of Love,21,0,78,0,342827,6233301
Kendrick Lamar ,untitled 07 | 2014  2016,27,0,11,0,733030,6222163
Mike Posner ,Please Don't Go,25,0,93,0,298199,6217971
Joji ,YUKON (INTERLUDE),15,0,23,0,704273,6214933
Lauv ,Modern Loneliness,21,0,75,0,430775,6206504
Taylor Swift ,Daylight,14,0,22,0,1020714,6201194
Tony Bennett ,O Christmas Tree,16,0,60,0,678152,6194394
Tyga ,VACATION,14,1,7,0,730380,6189355
Yo Gotti ,Law,48,0,137,0,145443,6187717
A Boogie Wit da Hoodie ,Me and My Guitar,20,0,53,0,589849,6182324
Ariana Grande ,Bad To You,17,0,23,0,691732,6174911
Migos ,Give No Fxk,13,1,6,0,1322389,6148659
"Tyler, The Creator ",OKRA,21,0,54,0,458497,6147778
Meghan Trainor ,I'll Be Home,21,0,78,0,541670,6143435
Justin Bieber ,Deserve You,15,1,6,0,1137169,6135863
Drake ,Flight's Booked,10,0,11,0,1832009,6133830
Kanye West ,Lord I Need You,12,0,22,0,1180806,6131048
"Tyler, The Creator ",RUNITUP,13,0,13,0,1451079,6129691
Logic ,State Of Emergency,15,0,23,0,965420,6127724
Shakira ,Clandestino,28,0,126,0,284121,6107582
Future ,I'M DAT N****,11,4,5,0,1468597,6106715
ROSALÍA ,LA FAMA,19,0,60,0,595802,6103557
DJ Khaled ,Celebrate,14,0,26,0,805870,6100149
Kanye West ,Jesus Is Lord,11,0,15,0,1327680,6076336
Young Dolph ,1 Scale,24,0,32,0,510862,6067976
